Site.Name	Latitude	Longitude	Collection.Date	Species	Sex	Total.Phenolics	Salicin	Salicortin	Tremulacin	Total.Volatiles	Salicylaldehyde	Benzaldehyde
Leesburg	28.787667	-81.894667	3-Jul-04	Viceroy	Female	73.2	11.8	16	45.4	16.6	8.1	8.5
Leesburg	28.787667	-81.894667	10-Aug-04	Viceroy	Female	50.8	3.3	10.9	36.6	19.8	13.8	6
Gainesville	29.6365	-82.2	3-Jul-04	Viceroy	Male	20.8	3.5	6.2	11.1	20.7	14.1	6.6
Gainesville	29.6365	-82.2	10-Aug-04	Viceroy	Male	59.4	5.5	20.3	33.6	14.8	12	2.8
Gainesville	29.6365	-82.2	3-Jul-04	Viceroy	Female	46.5	3.5	14.3	28.7	21.2	13.9	7.3
Gainesville	29.6365	-82.2	10-Aug-04	Viceroy	Female	65.4	8.9	19.7	36.8	13.6	11.7	1.9
Jena	29.666833	-83.184833	4-Jul-04	Viceroy	Male	46.9	11.2	16.9	18.8	22	14.6	7.4
Jena	29.666833	-83.184833	11-Aug-04	Viceroy	Male	35.2	3.8	11.3	20.1	18.9	12.7	6.2
Jena	29.666833	-83.184833	4-Jul-04	Viceroy	Female	63.8	1.7	17.4	44.7	22.7	14.4	8.3
Jena	29.666833	-83.184833	11-Aug-04	Viceroy	Female	51.2	6.5	8	36.7	15.2	11.5	3.7
Cedar Key	29.2135	-83.021333	4-Jul-04	Viceroy	Male	43	0.5	14.8	27.7	20.6	15.3	5.3
Cedar Key	29.2135	-83.021333	11-Aug-04	Viceroy	Male	62.6	2	22.5	38.1	16.5	12.6	3.9
Cedar Key	29.2135	-83.021333	4-Jul-04	Viceroy	Female	47.5	6.4	15.2	25.9	15.6	7.9	7.7
Cedar Key	29.2135	-83.021333	11-Aug-04	Viceroy	Female	66.7	3.5	21.5	41.7	19.9	15.8	4.1

